"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"	"Laminar_Viscosity"	"Skin_Friction_Coefficient"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"
0	1.187966790692242e-03	-2.321629267478448e-02	4.509901036633827e-01	0.000000000000000e+00	0.000000000000000e+00	1.000000000000000e-10	4.509901036633827e-01	0.000000000000000e+00	9.019802073267653e-01	0.000000000000000e+00	8.692878219953745e-07	2.848010072687391e-04	0.000000000000000e+00	1.486649371112269e-02	4.253379828950554e-25	
1	1.093918351237161e-03	-2.268314488106744e-02	4.577308446008316e-01	4.137641757657348e-03	5.602916339041909e-04	1.067611936784558e-09	4.577308446008316e-01	0.000000000000000e+00	9.154616892016633e-01	1.617746003522379e-04	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	4.325414265895693e-21	
2	9.947276941277921e-04	-2.211164344029618e-02	4.598775281287159e-01	6.041809609415549e-03	4.895676052971952e-04	4.208643878126420e-09	4.598775281287159e-01	0.000000000000000e+00	9.197550562574318e-01	2.348550333275574e-04	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.010761168122452e-18	
3	8.895287187352668e-04	-2.149911507757693e-02	4.603954318888005e-01	6.532397768580543e-03	1.428570781121273e-04	1.040650643417638e-08	4.603954318888005e-01	0.000000000000000e+00	9.207908637776010e-01	2.531559785092070e-04	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.735194536411866e-17	
4	7.770063983024826e-04	-2.084270870566194e-02	4.606137082683832e-01	6.820973053142909e-03	1.573615268510091e-04	2.033263289417611e-08	4.606137082683832e-01	0.000000000000000e+00	9.212274165367664e-01	2.643465315040248e-04	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.422922637636486e-16	
5	6.551921415752292e-04	-2.013934864098915e-02	4.607215253194480e-01	7.018685844595046e-03	1.302678587973418e-03	3.812574256582178e-08	4.607215253194480e-01	0.000000000000000e+00	9.214430506388960e-01	2.765806913618366e-04	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.653018370116156e-15	
6	5.211815228009951e-04	-1.938566720707022e-02	4.606596372566189e-01	7.011661166368552e-03	4.681671503844123e-03	8.006492318264068e-08	4.606596372566189e-01	0.000000000000000e+00	9.213192745132378e-01	3.266554056757401e-04	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.266348826285009e-13	
7	3.707371049755236e-04	-1.857789170402222e-02	4.604032084462995e-01	6.792855422714278e-03	1.187459753556966e-02	1.659159185669804e-07	4.604032084462995e-01	0.000000000000000e+00	9.208064168925990e-01	5.300360865521464e-04	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.382753847316513e-12	
8	1.977926645503241e-04	-1.771158729342812e-02	4.599098463636309e-01	6.472900502861994e-03	2.488412546787314e-02	3.320291606338178e-07	4.599098463636309e-01	0.000000000000000e+00	9.198196927272617e-01	9.962108717360707e-04	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	4.022556924434268e-11	
9	-6.171565895039073e-06	-1.678122183832866e-02	4.590983295855283e-01	6.426505672537212e-03	4.524152444160724e-02	6.061816765600454e-07	4.590983295855283e-01	0.000000000000000e+00	9.181966591710566e-01	1.770463261919169e-03	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	4.789365270334457e-10	
10	-2.529307583536188e-04	-1.577941773208681e-02	4.579276924570917e-01	7.331181534756251e-03	7.177540043471586e-02	9.712938541579255e-07	4.579276924570917e-01	0.000000000000000e+00	9.158553849141834e-01	2.795381328268133e-03	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.390066549234573e-09	
11	-5.584762802372774e-04	-1.469570777970235e-02	4.562945833311398e-01	1.043276152279180e-02	9.975352664065422e-02	1.343072524379711e-06	4.562945833311398e-01	0.000000000000000e+00	9.125891666622795e-01	3.885995391472216e-03	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.307555381729235e-08	
12	-9.444266738777925e-04	-1.351492983135932e-02	4.542767478356189e-01	1.635104843486686e-02	1.220164612976327e-01	1.622878321129851e-06	4.542767478356189e-01	0.000000000000000e+00	9.085534956712378e-01	4.769743921850890e-03	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.844591149057943e-08	
13	-1.439069818385716e-03	-1.221369392035719e-02	4.516533815772185e-01	2.518107044944617e-02	1.407172230287055e-01	1.950450497884484e-06	4.516533815772185e-01	0.000000000000000e+00	9.033067631544369e-01	5.538645349907066e-03	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.857175236171404e-08	
14	-2.078828351959729e-03	-1.075580761254206e-02	4.481270476632808e-01	3.749734439686135e-02	1.598877067345880e-01	2.215150597605381e-06	4.481270476632808e-01	0.000000000000000e+00	8.962540953265615e-01	6.362873020294255e-03	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.674203992933247e-08	
15	-2.909183935909596e-03	-9.085785191654927e-03	4.433928961867677e-01	5.420649844877105e-02	1.814368597810755e-01	2.374215573567678e-06	4.433928961867677e-01	0.000000000000000e+00	8.867857923735355e-01	7.336734860728441e-03	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.271697161546275e-07	
16	-3.983774091465372e-03	-7.121638201069371e-03	4.370513955487421e-01	7.628738292961426e-02	2.051885747005982e-01	2.448060505689094e-06	4.370513955487421e-01	0.000000000000000e+00	8.741027910974842e-01	8.481637999958559e-03	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.434274716540592e-07	
17	-5.360388617382665e-03	-4.749992510141968e-03	4.285318198889207e-01	1.047431699773766e-01	2.309380490028319e-01	2.480140284870848e-06	4.285318198889207e-01	0.000000000000000e+00	8.570636397778414e-01	9.824921597141403e-03	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.507949369311973e-07	
18	-7.095560521704238e-03	-1.825496045435179e-03	4.170943265070016e-01	1.404857541019859e-01	2.581938074998341e-01	2.496386297922814e-06	4.170943265070016e-01	0.000000000000000e+00	8.341886530140032e-01	1.138857373871778e-02	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.545436281036957e-07	
19	-9.241565805870549e-03	1.828612792141589e-03	4.019404509923996e-01	1.840950879910256e-01	2.859605658648805e-01	2.505071214492121e-06	4.019404509923996e-01	0.000000000000000e+00	8.038809019847991e-01	1.317685242121282e-02	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.563962536867448e-07	
20	-1.184717963911249e-02	6.424082226247775e-03	3.823618376902698e-01	2.357273137983253e-01	3.128214937232122e-01	2.508900484949800e-06	3.823618376902698e-01	0.000000000000000e+00	7.647236753805395e-01	1.517606979173194e-02	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.573088427224995e-07	
