CST
1.000000  	0.000000  
0.999315  	0.000849  
0.997261  	0.001902  
0.993844  	0.003359  
0.989074  	0.005206  
0.982963  	0.007424  
0.975528  	0.009992  
0.966790  	0.012888  
0.956773  	0.016089  
0.945503  	0.019573  
0.933013  	0.023317  
0.919335  	0.027300  
0.904508  	0.031504  
0.888573  	0.035910  
0.871572  	0.040503  
0.853553  	0.045266  
0.834565  	0.050184  
0.814660  	0.055241  
0.793893  	0.060419  
0.772320  	0.065696  
0.750000  	0.071049  
0.726995  	0.076447  
0.703368  	0.081855  
0.679184  	0.087232  
0.654508  	0.092531  
0.629410  	0.097697  
0.603956  	0.102671  
0.578217  	0.107390  
0.552264  	0.111785  
0.526168  	0.115787  
0.500000  	0.119327  
0.473832  	0.122338  
0.447736  	0.124756  
0.421783  	0.126526  
0.396044  	0.127599  
0.370590  	0.127940  
0.345492  	0.127523  
0.320816  	0.126337  
0.296632  	0.124384  
0.273005  	0.121683  
0.250000  	0.118265  
0.227680  	0.114175  
0.206107  	0.109469  
0.185340  	0.104214  
0.165435  	0.098484  
0.146447  	0.092360  
0.128428  	0.085921  
0.111427  	0.079250  
0.095492  	0.072424  
0.080665  	0.065515  
0.066987  	0.058585  
0.054497  	0.051687  
0.043227  	0.044863  
0.033210  	0.038141  
0.024472  	0.031535  
0.017037  	0.025050  
0.010926  	0.018676  
0.006156  	0.012394  
0.002739  	0.006180  
0.000685  	0.000000  
0.000000  	-0.007178 
0.000685  	-0.014364 
0.002739  	-0.021565 
0.006156  	-0.028783 
0.010926  	-0.036016 
0.017037  	-0.043255 
0.024472  	-0.050485 
0.033210  	-0.057680 
0.043227  	-0.064809 
0.054497  	-0.071827 
0.066987  	-0.078684 
0.080665  	-0.085320 
0.095492  	-0.091667 
0.111427  	-0.097652 
0.128428  	-0.103197 
0.146447  	-0.108221 
0.165435  	-0.112645 
0.185340  	-0.116389 
0.206107  	-0.119378 
0.227680  	-0.121546 
0.250000  	-0.122834 
0.273005  	-0.123197 
0.296632  	-0.122603 
0.320816  	-0.121035 
0.345492  	-0.118494 
0.370590  	-0.115000 
0.396044  	-0.110591 
0.421783  	-0.105323 
0.447736  	-0.099271 
0.473832  	-0.092527 
0.500000  	-0.085197 
0.526168  	-0.077403 
0.552264  	-0.069274 
0.578217  	-0.060947 
0.603956  	-0.052565 
0.629410  	-0.044269 
0.654508  	-0.036196 
0.679184  	-0.028478 
0.703368  	-0.021234 
0.726995  	-0.014571 
0.750000  	-0.008576 
0.772320  	-0.003320 
0.793893  	0.001149  
0.814660  	0.004805  
0.834565  	0.007645  
0.853553  	0.009688  
0.871572  	0.010976  
0.888573  	0.011569  
0.904508  	0.011546  
0.919335  	0.011000  
0.933013  	0.010034  
0.945503  	0.008759  
0.956773  	0.007291  
0.966790  	0.005742  
0.975528  	0.004221  
0.982963  	0.002827  
0.989074  	0.001646  
0.993844  	0.000749  
0.997261  	0.000190  
1.000000  	0.000000  
